"kw","1","2","3","4","5","6"
"reforms",0.347282631557883,-0.945837816648035,-0.912375243024593,-0.852385013052649,-0.448147991315663,-0.614718727014987
"boost",0.946652544979615,0.739508921118377,1.50412766073768,1.31108451385311,1.32139741770179,1.2894007151929
"consolidate",-1.03434267018871,-1.0493543527926,-1.5187059236149,-1.42905617646714,-1.38009844788044,-1.31294967626176
"construction",-0.908893676748173,-0.80668475216144,-0.929127682429653,-1.1178643038766,-1.0656397386624,-1.03461113487223
"outperform",-0.445571759822535,-1.10909828662826,-0.829046180728378,-0.915940465939945,-0.786321844815928,-1.05084763836418
"savings",-1.30021996167321,-0.913126943477073,-0.456352282574214,-0.342006554033732,-0.211286937364401,-0.353922531825456
"progress",-0.521784656999596,-0.480168043949,-0.383028637369137,-0.282972088166336,-0.438003018343984,-0.489756586093307
"booming",-1.74515599868872,-0.826981830967886,-1.14704432796079,-1.12296936305818,-1.47680622641416,-1.7742218848808
"accrue",0.203557259069886,0.112643101927643,-0.0197972847405854,0.0276824097992456,-0.0482865179405341,-0.180585602658562
"surpass",0.803143225010857,0.397434188502427,-0.0104104894456629,-0.0413530734735783,0.00420806066818891,0.351448020375207
"debt",-0.0994920993349364,-0.471133893932025,-0.260921463842317,0.0957971686964516,0.120194245702484,0.366063656583664
"crisis",-1.17905365912478,-0.677889590262781,-0.409358012699046,0.192530617748519,0.0807274845185564,-0.46451860800598
"decline",-0.987892747944914,-0.384290262178743,-0.0283654344413709,-0.124205313934683,-0.25524460754149,-0.0810261304854176
"recession",-0.0369381702695915,0.514164666055075,0.44342221079245,0.154314397867308,-0.126965946019782,-0.106935988144985
"unemployment",1.18414147407889,0.811513564122658,1.06577536141136,0.635610261041217,0.409564087537037,0.20589609808694
"bankrupt",-0.0469311733338031,0.596126127586128,0.77724367760025,0.70694130762644,0.888323616408854,1.00348266965274
"deficit",0.12017303330761,1.34962569488835,0.960254458141064,0.993546089322964,1.203333307596,0.802058470408307
"collapse",0.0876681740039675,0.199993287071505,-0.345787351690619,0.0201284470709044,0.791605358006221,1.08728109922094
"market crash",-0.736410671068361,0.895466948557088,0.167299036451842,-0.135882174383331,-0.0869410187952102,0.0172281433797767
"downturn",-0.954010407166161,-0.247671420675889,-0.23578479221603,-0.745340169565141,-0.476955094409382,-0.527330721300283
"banana",0.604779609246323,0.935052347161564,0.244790587159882,0.368496771036041,0.195442895908426,0.535568846993952
"door",-0.210031439075676,0.0257979944069131,0.121366544997167,0.426104417544783,0.0596364523518691,0.544474072332596
"weather",0.776773556289326,0.998529284437895,0.162679605009265,-0.396233658199987,-0.622913874209344,-0.313818417749156
"chopstick",0.4123048800909,-0.61697945862648,-0.404375446307226,-0.366144378195953,-0.285681046629028,-0.309080527319109
"phone",-1.03721400586778,-1.00772770108136,-1.3384975259855,-1.00255058432484,-1.15940213257526,-0.990513722677642
"chicago",-0.38454342984741,0.280167312050013,0.849352183214618,0.318520220754275,0.319675962127691,0.279064080208839
"christmas",-0.0924809131310962,-0.566944161700183,-0.455259118016103,-0.686063626943826,-0.888656135685073,-0.455782769647692
"swim",0.486557217254491,0.531881262880452,0.280853230070887,0.145331943947687,0.320702329960385,0.372871518121995
"bycicle",0.429212380914054,-0.336307210886423,-0.241181471474247,-0.139280718843436,-0.0478724730605027,-0.177501427181999
"programming",0.139947226855741,-0.488313043527272,-0.559287257821891,-1.03867467495895,-0.647601919545602,-0.425077347818087
