kw;1;2;;4;5;6
reforms;-0,296013658;0,975989034;93%;0,871568029;0,446958185;0,575940465
boost;-1,017846715;-0,826306541;-155%;-1,385198953;-1,369327385;-1,420697069
consolidate;1,35292163;1,174578613;167%;1,629221851;1,520550561;1,459721772
construction;0,868459843;0,789767313;92%;1,117076381;1,052559239;1,032273067
outperform;0,351172286;0,930131083;64%;0,706235527;0,558230762;0,811921171
savings;1,344548405;0,970027409;57%;0,475158624;0,318507279;0,351959963
progress;0,629229021;0,664217919;53%;0,41043681;0,472043835;0,511323709
booming;1,759527668;0,809036846;112%;1,103258782;1,463648384;1,744310776
accrue;-0,120653968;-0,127314046;0%;-0,050869292;0,032291035;0,162249051
surpass;-0,879939851;-0,482918042;-11%;-0,069710288;-0,132637148;-0,479877108
debt;-0,204391188;-0,537135562;-37%;-0,115787378;-0,11953824;0,109862594
crisis;-1,317904776;-0,602322627;-35%;0,135878653;0,044546312;-0,439102627
decline;-1,117844929;-0,498117423;-10%;-0,223818592;-0,285396505;-0,14142086
recession;-0,425083987;0,383400902;7%;-0,285047687;-0,53777279;-0,503779778
unemployment;1,424471727;1,045859704;126%;0,781079242;0,565477664;0,367467864
bankrupt;-0,341308644;0,488943608;67%;0,573948093;0,770837737;0,804260887
deficit;0,264258834;1,542233851;112%;1,160821567;1,248238798;0,856668526
collapse;-0,300358196;-0,042537425;-61%;-0,241458708;0,629188922;0,86196273
market crash;-0,66641535;1,046537553;31%;0,063589427;0,081730882;0,207404833
downturn;-1,019217133;-0,406082736;-39%;-0,837786406;-0,565744343;-0,593426733
banana;-0,653514205;-0,992818742;-31%;-0,481251899;-0,272856139;-0,621728902
door;0,449575673;0,122608354;-10%;-0,466100335;-0,191738277;-0,51489136
weather;-0,581746598;-0,633199364;23%;0,722382726;0,859668794;0,605915391
chopstick;-0,5344181;0,565694728;31%;0,272387381;0,227457706;0,233939707
phone;1,038966013;0,942666648;129%;0,972601526;1,115723255;0,920307557
chicago;0,242872676;-0,357166586;-87%;-0,371539541;-0,31764496;-0,286157506
christmas;-0,020366227;0,568499032;53%;0,657635657;0,912921988;0,493860294
swim;-0,284570019;-0,380269038;-25%;-0,09523111;-0,256031266;-0,37293164
bycicle;-0,316300829;0,467490871;34%;0,201386297;0,0829116;0,107752825
programming;0,03621608;0,67112943;71%;1,14401798;0,714943158;0,549339733
